source_id,result_set_id,benchmark,table_label,page,model,model_category,size,sound,music,speech,sound_music,speech_music,speech_sound,sound_music_speech,spatial,voice,multi_audio,open_ended,instruction_following,average
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,Random Choice,Baseline,-,28.3,26.1,29.4,24.2,25.2,30.5,14.8,21.2,29.3,25.2,,,23.4
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,Human,Human,-,78.2,70.5,82.3,79.3,78.5,82.4,85.7,88.2,78.4,79.8,77.3,100,77.9
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,SALMONN,Large Audio Language Model,7B,32.2,44.9,38.3,22.0,34.8,28.4,28.6,26.5,36.5,11.4,31.2,33.9,34.5
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,SALMONN,Large Audio Language Model,13B,43.6,47.2,37.3,28.0,47.8,38.4,42.8,30.8,53.2,17.4,33.6,38.5,39.6
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,GAMA,Large Audio Language Model,-,45.4,41.2,29.8,24.0,27.9,27.3,14.8,12.0,28.4,20.2,24.2,31.7,33.2
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,DeSTA2,Large Audio Language Model,-,31.0,43.3,46.5,32.6,47.8,39.7,42.8,32.6,54.8,13.2,25.4,41.5,36.7
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,DeSTA2.5-Audio,Large Audio Language Model,-,35.7,48.2,49.9,22.0,36.9,35.2,28.6,28.0,51.0,19.8,36.4,46.5,40.6
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,BAT,Large Audio Language Model,-,28.9,22.7,25.9,30.0,23.9,25.0,14.8,23.7,24.5,20.2,24.6,31.8,24.8
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,Audio Flamingo 2,Large Audio Language Model,-,39.5,55.7,43.0,36.0,34.8,29.5,14.8,44.1,37.2,15.5,43.2,29.6,42.6
src-mmau-pro-aaai-2026,mmau-pro-table-4,MMAU-Pro,Table 4,6,Phi4-MM,Large Audio Language Model,-,25.7,47.8,47.6,30.0,39.1,30.1,28.6,39.7,42.7,11.4,42.5,65.4,38.7
